vaisalaTimeHours	elapsedTimeSec	"RH, %"	"T, ?C"	"pw, psi"
0.495833	1785.000000	50.4	25.3	0.236
0.497222	1790.000000	50.26	25.3	0.235
0.498611	1795.000000	50.17	25.3	0.235
0.500000	1800.000000	50.1	25.3	0.234
0.501389	1805.000000	50.06	25.3	0.234
0.502778	1810.000000	50.04	25.3	0.234
0.504167	1815.000000	50.03	25.3	0.234
0.505556	1820.000000	50.02	25.3	0.234
0.506944	1825.000000	50.02	25.3	0.234
0.508333	1830.000000	50.02	25.3	0.234
0.509722	1835.000000	50.02	25.3	0.234
0.511111	1840.000000	50.03	25.3	0.234
0.512500	1845.000000	50.03	25.3	0.234
0.513889	1850.000000	50.04	25.3	0.234
0.515278	1855.000000	50.05	25.3	0.234
0.516667	1860.000000	50.06	25.3	0.234
0.518056	1865.000000	50.06	25.3	0.234
0.519444	1870.000000	50.06	25.3	0.234
0.520833	1875.000000	50.06	25.3	0.234
0.522222	1880.000000	50.07	25.3	0.234
0.523611	1885.000000	50.07	25.3	0.234
0.525000	1890.000001	50.08	25.3	0.234
0.526389	1895.000000	50.09	25.3	0.234
0.527778	1900.000000	50.11	25.3	0.234
0.529167	1905.000000	50.13	25.3	0.234
0.530556	1910.000000	50.13	25.3	0.235
0.531944	1915.000000	50.14	25.3	0.235
0.533333	1920.000000	50.15	25.3	0.235
0.534722	1925.000001	50.17	25.3	0.235
0.536111	1930.000000	50.18	25.3	0.235
0.537500	1935.000000	50.19	25.3	0.235
0.538889	1940.000000	50.2	25.3	0.235
0.540278	1945.000000	50.21	25.29	0.235
0.541667	1950.000000	50.23	25.3	0.235
0.543056	1955.000000	50.25	25.3	0.235
0.544444	1960.000001	50.26	25.3	0.235
0.545833	1965.000000	50.27	25.3	0.235
0.547222	1970.000000	50.27	25.29	0.235
0.548611	1975.000000	50.28	25.29	0.235
0.550000	1980.000000	50.28	25.29	0.235
0.551389	1985.000000	50.3	25.3	0.235
0.552778	1990.000000	50.32	25.3	0.235
0.554167	1995.000000	50.35	25.3	0.236
0.555556	2000.000000	50.36	25.3	0.236
0.556944	2005.000000	50.38	25.3	0.236
0.558333	2010.000000	50.39	25.29	0.236
0.559722	2015.000000	50.4	25.29	0.236
0.561111	2020.000000	50.4	25.3	0.236
0.562500	2025.000000	50.41	25.3	0.236
0.563889	2030.000000	50.42	25.29	0.236
0.565278	2035.000000	50.43	25.3	0.236
0.566667	2040.000000	50.43	25.29	0.236
0.568056	2045.000000	50.44	25.29	0.236
0.569444	2050.000000	50.44	25.3	0.236
0.570833	2055.000000	50.45	25.29	0.236
0.572222	2060.000000	50.46	25.29	0.236
0.573611	2065.000000	50.46	25.29	0.236
0.575000	2070.000000	50.45	25.3	0.236
0.576389	2075.000000	50.46	25.3	0.236
0.577778	2080.000000	50.5	25.3	0.236
0.579167	2085.000000	50.65	25.3	0.237
0.580556	2090.000000	50.76	25.3	0.237
0.581944	2095.000000	50.8	25.3	0.238
0.583333	2100.000000	50.79	25.3	0.238
0.584722	2105.000000	50.79	25.29	0.237
0.586111	2110.000000	50.78	25.29	0.237
0.587500	2115.000000	50.77	25.3	0.237
0.588889	2120.000000	50.76	25.3	0.237
0.590278	2125.000000	50.76	25.3	0.237
0.591667	2130.000000	50.76	25.3	0.237
0.593056	2135.000000	50.76	25.3	0.237
0.594444	2140.000000	50.76	25.3	0.237
0.595833	2145.000000	50.77	25.3	0.238
0.597222	2150.000000	50.78	25.3	0.238
0.598611	2155.000000	50.79	25.3	0.238
0.600000	2160.000000	50.8	25.3	0.238
0.601389	2165.000000	50.8	25.3	0.238
0.602778	2170.000000	50.81	25.3	0.238
0.604167	2175.000000	50.81	25.3	0.238
0.605556	2180.000000	50.81	25.3	0.238
0.606944	2185.000000	50.82	25.3	0.238
0.608333	2190.000000	50.83	25.3	0.238
0.609722	2195.000000	50.84	25.3	0.238
0.611111	2200.000000	50.85	25.3	0.238
0.612500	2205.000000	50.86	25.29	0.238
0.613889	2210.000000	50.85	25.29	0.238
0.615278	2215.000000	50.85	25.3	0.238
0.616667	2220.000000	50.86	25.3	0.238
0.618056	2225.000000	50.86	25.3	0.238
0.619444	2230.000000	50.86	25.3	0.238
0.620833	2235.000000	50.86	25.3	0.238
0.622222	2240.000000	50.87	25.3	0.238
0.623611	2245.000001	50.88	25.3	0.238
0.625000	2250.000000	50.89	25.29	0.238
0.626389	2255.000000	50.9	25.29	0.238
0.627778	2260.000000	50.9	25.29	0.238
0.629167	2265.000000	50.9	25.29	0.238
0.630556	2270.000000	50.9	25.3	0.238
0.631944	2275.000000	50.9	25.29	0.238
0.633333	2280.000001	50.91	25.29	0.238
0.634722	2285.000000	50.9	25.29	0.238
0.636111	2290.000000	50.9	25.29	0.238
0.637500	2295.000000	50.91	25.29	0.238
0.638889	2300.000000	50.92	25.3	0.238
0.640278	2305.000000	50.93	25.3	0.238
0.641667	2310.000000	50.94	25.3	0.238
0.643056	2315.000000	50.96	25.29	0.238
0.644444	2320.000000	50.96	25.29	0.238
0.645833	2325.000000	50.97	25.29	0.238
0.647222	2330.000000	50.99	25.29	0.238
0.648611	2335.000000	51	25.29	0.239
0.650000	2340.000000	51.02	25.29	0.239
0.651389	2345.000000	51.03	25.3	0.239
0.652778	2350.000000	51.04	25.3	0.239
0.654167	2355.000000	51.06	25.3	0.239
0.655556	2360.000000	51.07	25.29	0.239
0.656944	2365.000000	51.07	25.29	0.239
0.658333	2370.000000	51.07	25.29	0.239
0.659722	2375.000000	51.06	25.3	0.239
0.661111	2380.000000	51.06	25.3	0.239
0.662500	2385.000000	51.07	25.29	0.239
0.663889	2390.000000	51.09	25.3	0.239
0.665278	2395.000000	51.1	25.3	0.239
0.666667	2400.000000	51.1	25.3	0.239
0.668056	2405.000000	51.1	25.3	0.239
0.669444	2410.000000	51.1	25.3	0.239
0.670833	2415.000000	51.11	25.3	0.239
0.672222	2420.000000	51.11	25.3	0.239
0.673611	2425.000000	51.11	25.3	0.239
0.675000	2430.000000	51.11	25.29	0.239
0.676389	2435.000000	51.11	25.3	0.239
0.677778	2440.000000	51.11	25.29	0.239
0.679167	2445.000000	51.12	25.3	0.239
0.680556	2450.000000	51.12	25.3	0.239
0.681944	2455.000000	51.13	25.3	0.239
0.683333	2460.000000	51.13	25.29	0.239
0.684722	2465.000000	51.13	25.3	0.239
0.686111	2470.000000	51.14	25.3	0.239
0.687500	2475.000000	51.14	25.3	0.239
0.688889	2480.000000	51.15	25.3	0.239
0.690278	2485.000000	51.14	25.29	0.239
0.691667	2490.000000	51.14	25.3	0.239
0.693056	2495.000000	51.13	25.3	0.239
0.694444	2500.000000	51.14	25.3	0.239
0.695833	2505.000000	51.14	25.3	0.239
0.697222	2510.000000	51.14	25.3	0.239
0.698611	2515.000000	51.13	25.3	0.239
0.700000	2520.000000	51.13	25.3	0.239
0.701389	2525.000000	51.12	25.3	0.239
0.702778	2530.000000	51.12	25.3	0.239
0.704167	2535.000000	51.1	25.3	0.239
0.705556	2540.000000	51.09	25.29	0.239
0.706944	2545.000000	51.09	25.3	0.239
0.708333	2550.000000	51.1	25.3	0.239
0.709722	2555.000000	51.1	25.3	0.239
0.711111	2560.000000	51.11	25.3	0.239
0.712500	2565.000001	51.12	25.3	0.239
0.713889	2570.000000	51.13	25.3	0.239
0.715278	2575.000000	51.13	25.3	0.239
0.716667	2580.000000	51.13	25.3	0.239
0.718056	2585.000000	51.13	25.3	0.239
0.719444	2590.000000	51.13	25.3	0.239
0.720833	2595.000000	51.13	25.3	0.239
0.722222	2600.000001	51.11	25.3	0.239
0.723611	2605.000000	51.12	25.3	0.239
0.725000	2610.000000	51.12	25.3	0.239
0.726389	2615.000000	51.11	25.3	0.239
0.727778	2620.000000	51.11	25.3	0.239
0.729167	2625.000000	51.12	25.3	0.239
0.730556	2630.000000	51.12	25.3	0.239
0.731944	2635.000001	51.12	25.3	0.239
0.733333	2640.000000	51.12	25.3	0.239
0.734722	2645.000000	51.12	25.3	0.239
0.736111	2650.000000	51.13	25.3	0.239
0.737500	2655.000000	51.13	25.3	0.239
0.738889	2660.000000	51.14	25.3	0.239
0.740278	2665.000000	51.14	25.3	0.239
0.741667	2670.000000	51.13	25.3	0.239
0.743056	2675.000000	51.14	25.3	0.239
0.744444	2680.000000	51.15	25.3	0.239
0.745833	2685.000000	51.16	25.3	0.239
0.747222	2690.000000	51.16	25.3	0.239
0.748611	2695.000000	51.15	25.3	0.239
0.750000	2700.000000	51.15	25.3	0.239
0.751389	2705.000000	51.15	25.3	0.239
0.752778	2710.000000	51.15	25.3	0.239
0.754167	2715.000000	51.15	25.3	0.239
0.755556	2720.000000	51.15	25.3	0.239
0.756944	2725.000000	51.15	25.3	0.239
0.758333	2730.000000	51.15	25.3	0.239
0.759722	2735.000000	51.15	25.3	0.239
0.761111	2740.000000	51.15	25.3	0.239
0.762500	2745.000000	51.14	25.3	0.239
0.763889	2750.000000	51.13	25.3	0.239
0.765278	2755.000000	51.11	25.3	0.239
0.766667	2760.000000	51.12	25.3	0.239
0.768056	2765.000000	51.12	25.3	0.239
0.769444	2770.000000	51.12	25.3	0.239
0.770833	2775.000000	51.12	25.3	0.239
0.772222	2780.000000	51.11	25.3	0.239
0.773611	2785.000000	51.12	25.29	0.239
0.775000	2790.000000	51.13	25.29	0.239
0.776389	2795.000000	51.14	25.29	0.239
0.777778	2800.000000	51.14	25.3	0.239
0.779167	2805.000000	51.12	25.3	0.239
0.780556	2810.000000	51.12	25.3	0.239
0.781944	2815.000000	51.12	25.3	0.239
0.783333	2820.000000	51.13	25.3	0.239
0.784722	2825.000000	51.12	25.3	0.239
0.786111	2830.000000	51.11	25.3	0.239
0.787500	2835.000000	51.11	25.3	0.239
0.788889	2840.000000	51.11	25.3	0.239
0.790278	2845.000000	51.1	25.3	0.239
0.791667	2850.000000	51.09	25.3	0.239
0.793056	2855.000000	51.09	25.3	0.239
0.794444	2860.000000	51.09	25.29	0.239
0.795833	2865.000000	51.1	25.29	0.239
0.797222	2870.000000	51.11	25.29	0.239
0.798611	2875.000000	51.12	25.3	0.239
0.800000	2880.000000	51.13	25.3	0.239
0.801389	2885.000000	51.13	25.3	0.239
0.802778	2890.000000	51.13	25.3	0.239
0.804167	2895.000000	51.13	25.3	0.239
0.805556	2900.000000	51.12	25.3	0.239
0.806944	2905.000000	51.12	25.29	0.239
0.808333	2910.000000	51.12	25.29	0.239
0.809722	2915.000000	51.12	25.29	0.239
0.811111	2920.000001	51.1	25.3	0.239
0.812500	2925.000000	51.11	25.3	0.239
0.813889	2930.000000	51.11	25.3	0.239
0.815278	2935.000000	51.11	25.29	0.239
0.816667	2940.000000	51.12	25.3	0.239
0.818056	2945.000000	51.13	25.3	0.239
0.819444	2950.000000	51.13	25.3	0.239
0.820833	2955.000001	51.13	25.3	0.239
0.822222	2960.000000	51.12	25.29	0.239
0.823611	2965.000000	51.11	25.29	0.239
0.825000	2970.000000	51.1	25.29	0.239
0.826389	2975.000000	51.08	25.29	0.239
0.827778	2980.000000	51.07	25.3	0.239
0.829167	2985.000000	51.08	25.3	0.239
0.830556	2990.000000	51.1	25.3	0.239
0.831944	2995.000000	51.11	25.3	0.239
0.833333	3000.000000	51.09	25.3	0.239
