time(s)	MFC1	MFC2	MFC3	MFC4	MFC5	MFC6	Valve 1	Valve 2	Total Flow (cc)	Gas	Concentration of Gas (%)	Time(s)	RH (%)	Temperature (C )	Include								MFC1 cc/min	MFC2	MFC3	MFC4	MFC5	MFC6	MFC7	total flow	% moist	% dry
300	0.700	0.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	70	20-3	0																	
300	0.800	0.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	80	20-3	0																	
300	0.900	0.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	90	20-3	0																	
300	0.950	0.100	0.000	0.000	0.00	0	0	0	200	NA	0	300	95	20-3	0																	
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	20-3	1																	
300	0.100	1.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	10	20-3	1																	
300	0.200	1.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	20	20-3	1																	
300	0.300	1.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	30	20-3	1																	
300	0.400	1.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	40	20-3	1																	
300	0.500	1.000	0.000	0.000	0.00	0	0	0	200	NA	0	300	50	20-3	1																	
300	0.600	0.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	60	20-3	1																	
300	0.700	0.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	70	20-3	1																	
300	0.800	0.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	80	20-3	1																	
300	0.900	0.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	90	20-3	1																	
300	0.950	0.100	0.000	0.000	0.00	0	0	0	200	NA	0	300	95	20-3	1																	
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	20-3	0	12600	210															
3600000	0.250	1.500	0.000	0.000	0.00	0	0	0	200	NA	0	3600000	25	20-3	0																	
																																
																Total time:	130801	s														
																	2180.016667	min														
																	36.33361111	h														
